"hours","minutes","seconds","channel","intensity","interval","copy"
0,0,3138,1,12,0,1
0,0,3138,3,12,0,1
0,0,3138,8,12,0,1
0,0,3138,10,12,0,1
0,0,3143,1,11,0,1
0,0,3143,3,11,0,1
0,0,3143,8,11,0,1
0,0,3143,10,11,0,1
0,0,3148,1,10,0,1
0,0,3148,3,10,0,1
0,0,3148,8,10,0,1
0,0,3148,10,10,0,1
0,0,3152,1,9,0,1
0,0,3152,3,9,0,1
0,0,3152,8,9,0,1
0,0,3152,10,9,0,1
0,0,3157,1,8,0,1
0,0,3157,3,8,0,1
0,0,3157,8,8,0,1
0,0,3157,10,8,0,1
0,0,3162,1,7,0,1
0,0,3162,3,7,0,1
0,0,3162,8,7,0,1
0,0,3162,10,7,0,1
0,0,3166,1,6,0,1
0,0,3166,3,6,0,1
0,0,3166,8,6,0,1
0,0,3166,10,6,0,1
0,0,3171,1,5,0,1
0,0,3171,3,5,0,1
0,0,3171,8,5,0,1
0,0,3171,10,5,0,1
0,0,3175,1,4,0,1
0,0,3175,3,4,0,1
0,0,3175,8,4,0,1
0,0,3175,10,4,0,1
0,0,3180,1,3,0,1
0,0,3180,3,3,0,1
0,0,3180,8,3,0,1
0,0,3180,10,3,0,1
0,0,3185,1,4,0,1
0,0,3185,3,4,0,1
0,0,3185,8,4,0,1
0,0,3185,10,4,0,1
0,0,3189,1,5,0,1
0,0,3189,3,5,0,1
0,0,3189,8,5,0,1
0,0,3189,10,5,0,1
0,0,3194,1,6,0,1
0,0,3194,3,6,0,1
0,0,3194,8,6,0,1
0,0,3194,10,6,0,1
0,0,3198,1,7,0,1
0,0,3198,3,7,0,1
0,0,3198,8,7,0,1
0,0,3198,10,7,0,1
0,0,3203,1,8,0,1
0,0,3203,3,8,0,1
0,0,3203,8,8,0,1
0,0,3203,10,8,0,1
0,0,3208,1,9,0,1
0,0,3208,3,9,0,1
0,0,3208,8,9,0,1
0,0,3208,10,9,0,1
0,0,3212,1,10,0,1
0,0,3212,3,10,0,1
0,0,3212,8,10,0,1
0,0,3212,10,10,0,1
0,0,3217,1,11,0,1
0,0,3217,3,11,0,1
0,0,3217,8,11,0,1
0,0,3217,10,11,0,1
0,0,3222,1,12,0,1
0,0,3222,3,12,0,1
0,0,3222,8,12,0,1
0,0,3222,10,12,0,1
0,0,3226,1,13,0,1
0,0,3226,3,13,0,1
0,0,3226,8,13,0,1
0,0,3226,10,13,0,1
0,0,3231,1,14,0,1
0,0,3231,3,14,0,1
0,0,3231,8,14,0,1
0,0,3231,10,14,0,1
0,0,3235,1,15,0,1
0,0,3235,3,15,0,1
0,0,3235,8,15,0,1
0,0,3235,10,15,0,1
0,0,3240,1,16,0,1
0,0,3240,3,16,0,1
0,0,3240,8,16,0,1
0,0,3240,10,16,0,1
0,0,3245,1,17,0,1
0,0,3245,3,17,0,1
0,0,3245,8,17,0,1
0,0,3245,10,17,0,1
0,0,3249,1,18,0,1
0,0,3249,3,18,0,1
0,0,3249,8,18,0,1
0,0,3249,10,18,0,1
0,0,3254,1,19,0,1
0,0,3254,3,19,0,1
0,0,3254,8,19,0,1
0,0,3254,10,19,0,1
0,0,3258,1,20,0,1
0,0,3258,3,20,0,1
0,0,3258,8,20,0,1
0,0,3258,10,20,0,1
0,0,3263,1,21,0,1
0,0,3263,3,21,0,1
0,0,3263,8,21,0,1
0,0,3263,10,21,0,1
0,0,3268,1,22,0,1
0,0,3268,3,22,0,1
0,0,3268,8,22,0,1
0,0,3268,10,22,0,1
0,0,3272,1,23,0,1
0,0,3272,3,23,0,1
0,0,3272,8,23,0,1
0,0,3272,10,23,0,1
0,0,3277,1,24,0,1
0,0,3277,3,24,0,1
0,0,3277,8,24,0,1
0,0,3277,10,24,0,1
0,0,3282,1,25,0,1
0,0,3282,3,25,0,1
0,0,3282,8,25,0,1
0,0,3282,10,25,0,1
0,0,3286,1,26,0,1
0,0,3286,3,26,0,1
0,0,3286,8,26,0,1
0,0,3286,10,26,0,1
0,0,3291,1,27,0,1
0,0,3291,3,27,0,1
0,0,3291,8,27,0,1
0,0,3291,10,27,0,1
0,0,3295,1,28,0,1
0,0,3295,3,28,0,1
0,0,3295,8,28,0,1
0,0,3295,10,28,0,1
0,0,3300,1,29,0,1
0,0,3300,3,29,0,1
0,0,3300,8,29,0,1
0,0,3300,10,29,0,1
0,0,3305,1,28,0,1
0,0,3305,3,28,0,1
0,0,3305,8,28,0,1
0,0,3305,10,28,0,1
0,0,3309,1,27,0,1
0,0,3309,3,27,0,1
0,0,3309,8,27,0,1
0,0,3309,10,27,0,1
0,0,3314,1,26,0,1
0,0,3314,3,26,0,1
0,0,3314,8,26,0,1
0,0,3314,10,26,0,1
0,0,3318,1,25,0,1
0,0,3318,3,25,0,1
0,0,3318,8,25,0,1
0,0,3318,10,25,0,1
0,0,3323,1,24,0,1
0,0,3323,3,24,0,1
0,0,3323,8,24,0,1
0,0,3323,10,24,0,1
0,0,3328,1,23,0,1
0,0,3328,3,23,0,1
0,0,3328,8,23,0,1
0,0,3328,10,23,0,1
0,0,3332,1,22,0,1
0,0,3332,3,22,0,1
0,0,3332,8,22,0,1
0,0,3332,10,22,0,1
0,0,3337,1,21,0,1
0,0,3337,3,21,0,1
0,0,3337,8,21,0,1
0,0,3337,10,21,0,1
0,0,3342,1,20,0,1
0,0,3342,3,20,0,1
0,0,3342,8,20,0,1
0,0,3342,10,20,0,1
0,0,3346,1,19,0,1
0,0,3346,3,19,0,1
0,0,3346,8,19,0,1
0,0,3346,10,19,0,1
0,0,3351,1,18,0,1
0,0,3351,3,18,0,1
0,0,3351,8,18,0,1
0,0,3351,10,18,0,1
0,0,3355,1,17,0,1
0,0,3355,3,17,0,1
0,0,3355,8,17,0,1
0,0,3355,10,17,0,1
0,0,3360,1,16,0,1
0,0,3360,3,16,0,1
0,0,3360,8,16,0,1
0,0,3360,10,16,0,1
0,0,3365,1,15,0,1
0,0,3365,3,15,0,1
0,0,3365,8,15,0,1
0,0,3365,10,15,0,1
0,0,3369,1,14,0,1
0,0,3369,3,14,0,1
0,0,3369,8,14,0,1
0,0,3369,10,14,0,1
0,0,3374,1,13,0,1
0,0,3374,3,13,0,1
0,0,3374,8,13,0,1
0,0,3374,10,13,0,1
0,0,3378,1,12,0,1
0,0,3378,3,12,0,1
0,0,3378,8,12,0,1
0,0,3378,10,12,0,1
0,0,3383,1,11,0,1
0,0,3383,3,11,0,1
0,0,3383,8,11,0,1
0,0,3383,10,11,0,1
0,0,3388,1,10,0,1
0,0,3388,3,10,0,1
0,0,3388,8,10,0,1
0,0,3388,10,10,0,1
0,0,3392,1,9,0,1
0,0,3392,3,9,0,1
0,0,3392,8,9,0,1
0,0,3392,10,9,0,1
0,0,3397,1,8,0,1
0,0,3397,3,8,0,1
0,0,3397,8,8,0,1
0,0,3397,10,8,0,1
0,0,3402,1,7,0,1
0,0,3402,3,7,0,1
0,0,3402,8,7,0,1
0,0,3402,10,7,0,1
0,0,3406,1,6,0,1
0,0,3406,3,6,0,1
0,0,3406,8,6,0,1
0,0,3406,10,6,0,1
0,0,3411,1,5,0,1
0,0,3411,3,5,0,1
0,0,3411,8,5,0,1
0,0,3411,10,5,0,1
0,0,3415,1,4,0,1
0,0,3415,3,4,0,1
0,0,3415,8,4,0,1
0,0,3415,10,4,0,1
0,0,3420,1,3,0,1
0,0,3420,3,3,0,1
0,0,3420,8,3,0,1
0,0,3420,10,3,0,1
0,0,3425,1,4,0,1
0,0,3425,3,4,0,1
0,0,3425,8,4,0,1
0,0,3425,10,4,0,1
0,0,3429,1,5,0,1
0,0,3429,3,5,0,1
0,0,3429,8,5,0,1
0,0,3429,10,5,0,1
0,0,3434,1,6,0,1
0,0,3434,3,6,0,1
0,0,3434,8,6,0,1
0,0,3434,10,6,0,1
0,0,3438,1,7,0,1
0,0,3438,3,7,0,1
0,0,3438,8,7,0,1
0,0,3438,10,7,0,1
0,0,3443,1,8,0,1
0,0,3443,3,8,0,1
0,0,3443,8,8,0,1
0,0,3443,10,8,0,1
0,0,3448,1,9,0,1
0,0,3448,3,9,0,1
0,0,3448,8,9,0,1
0,0,3448,10,9,0,1
0,0,3452,1,10,0,1
0,0,3452,3,10,0,1
0,0,3452,8,10,0,1
0,0,3452,10,10,0,1
0,0,3457,1,11,0,1
0,0,3457,3,11,0,1
0,0,3457,8,11,0,1
0,0,3457,10,11,0,1
0,0,3462,1,12,0,1
0,0,3462,3,12,0,1
0,0,3462,8,12,0,1
0,0,3462,10,12,0,1
0,0,3466,1,13,0,1
0,0,3466,3,13,0,1
0,0,3466,8,13,0,1
0,0,3466,10,13,0,1
0,0,3471,1,14,0,1
0,0,3471,3,14,0,1
0,0,3471,8,14,0,1
0,0,3471,10,14,0,1
0,0,3475,1,15,0,1
0,0,3475,3,15,0,1
0,0,3475,8,15,0,1
0,0,3475,10,15,0,1
0,0,3480,1,16,0,1
0,0,3480,3,16,0,1
0,0,3480,8,16,0,1
0,0,3480,10,16,0,1
0,0,3485,1,17,0,1
0,0,3485,3,17,0,1
0,0,3485,8,17,0,1
0,0,3485,10,17,0,1
0,0,3489,1,18,0,1
0,0,3489,3,18,0,1
0,0,3489,8,18,0,1
0,0,3489,10,18,0,1
0,0,3494,1,19,0,1
0,0,3494,3,19,0,1
0,0,3494,8,19,0,1
0,0,3494,10,19,0,1
0,0,3498,1,20,0,1
0,0,3498,3,20,0,1
0,0,3498,8,20,0,1
0,0,3498,10,20,0,1
0,0,3503,1,21,0,1
0,0,3503,3,21,0,1
0,0,3503,8,21,0,1
0,0,3503,10,21,0,1
0,0,3508,1,22,0,1
0,0,3508,3,22,0,1
0,0,3508,8,22,0,1
0,0,3508,10,22,0,1
0,0,3512,1,23,0,1
0,0,3512,3,23,0,1
0,0,3512,8,23,0,1
0,0,3512,10,23,0,1
0,0,3517,1,24,0,1
0,0,3517,3,24,0,1
0,0,3517,8,24,0,1
0,0,3517,10,24,0,1
0,0,3522,1,25,0,1
0,0,3522,3,25,0,1
0,0,3522,8,25,0,1
0,0,3522,10,25,0,1
0,0,3526,1,26,0,1
0,0,3526,3,26,0,1
0,0,3526,8,26,0,1
0,0,3526,10,26,0,1
0,0,3531,1,27,0,1
0,0,3531,3,27,0,1
0,0,3531,8,27,0,1
0,0,3531,10,27,0,1
0,0,3535,1,28,0,1
0,0,3535,3,28,0,1
0,0,3535,8,28,0,1
0,0,3535,10,28,0,1
0,0,3540,1,29,0,1
0,0,3540,3,29,0,1
0,0,3540,8,29,0,1
0,0,3540,10,29,0,1
0,0,3545,1,28,0,1
0,0,3545,3,28,0,1
0,0,3545,8,28,0,1
0,0,3545,10,28,0,1
0,0,3549,1,27,0,1
0,0,3549,3,27,0,1
0,0,3549,8,27,0,1
0,0,3549,10,27,0,1
0,0,3554,1,26,0,1
0,0,3554,3,26,0,1
0,0,3554,8,26,0,1
0,0,3554,10,26,0,1
0,0,3558,1,25,0,1
0,0,3558,3,25,0,1
0,0,3558,8,25,0,1
0,0,3558,10,25,0,1
0,0,3563,1,24,0,1
0,0,3563,3,24,0,1
0,0,3563,8,24,0,1
0,0,3563,10,24,0,1
0,0,3568,1,23,0,1
0,0,3568,3,23,0,1
0,0,3568,8,23,0,1
0,0,3568,10,23,0,1
0,0,3572,1,22,0,1
0,0,3572,3,22,0,1
0,0,3572,8,22,0,1
0,0,3572,10,22,0,1
0,0,3577,1,21,0,1
0,0,3577,3,21,0,1
0,0,3577,8,21,0,1
0,0,3577,10,21,0,1
0,0,3582,1,20,0,1
0,0,3582,3,20,0,1
0,0,3582,8,20,0,1
0,0,3582,10,20,0,1
0,0,3586,1,19,0,1
0,0,3586,3,19,0,1
0,0,3586,8,19,0,1
0,0,3586,10,19,0,1
0,0,3591,1,18,0,1
0,0,3591,3,18,0,1
0,0,3591,8,18,0,1
0,0,3591,10,18,0,1
0,0,3595,1,17,0,1
0,0,3595,3,17,0,1
0,0,3595,8,17,0,1
0,0,3595,10,17,0,1
0,0,3600,1,16,0,1
0,0,3600,3,16,0,1
0,0,3600,8,16,0,1
0,0,3600,10,16,0,1
0,0,3605,1,15,0,1
0,0,3605,3,15,0,1
0,0,3605,8,15,0,1
0,0,3605,10,15,0,1
0,0,3609,1,14,0,1
0,0,3609,3,14,0,1
0,0,3609,8,14,0,1
0,0,3609,10,14,0,1
0,0,3614,1,13,0,1
0,0,3614,3,13,0,1
0,0,3614,8,13,0,1
0,0,3614,10,13,0,1
0,0,3618,1,12,0,1
0,0,3618,3,12,0,1
0,0,3618,8,12,0,1
0,0,3618,10,12,0,1
0,0,3623,1,11,0,1
0,0,3623,3,11,0,1
0,0,3623,8,11,0,1
0,0,3623,10,11,0,1
0,0,3628,1,10,0,1
0,0,3628,3,10,0,1
0,0,3628,8,10,0,1
0,0,3628,10,10,0,1
0,0,3632,1,9,0,1
0,0,3632,3,9,0,1
0,0,3632,8,9,0,1
0,0,3632,10,9,0,1
0,0,3637,1,8,0,1
0,0,3637,3,8,0,1
0,0,3637,8,8,0,1
0,0,3637,10,8,0,1
0,0,3642,1,7,0,1
0,0,3642,3,7,0,1
0,0,3642,8,7,0,1
0,0,3642,10,7,0,1
0,0,3646,1,6,0,1
0,0,3646,3,6,0,1
0,0,3646,8,6,0,1
0,0,3646,10,6,0,1
0,0,3651,1,5,0,1
0,0,3651,3,5,0,1
0,0,3651,8,5,0,1
0,0,3651,10,5,0,1
0,0,3655,1,4,0,1
0,0,3655,3,4,0,1
0,0,3655,8,4,0,1
0,0,3655,10,4,0,1
0,0,3660,1,3,0,1
0,0,3660,3,3,0,1
0,0,3660,8,3,0,1
0,0,3660,10,3,0,1
0,0,3665,1,4,0,1
0,0,3665,3,4,0,1
0,0,3665,8,4,0,1
0,0,3665,10,4,0,1
0,0,3669,1,5,0,1
0,0,3669,3,5,0,1
0,0,3669,8,5,0,1
0,0,3669,10,5,0,1
0,0,3674,1,6,0,1
0,0,3674,3,6,0,1
0,0,3674,8,6,0,1
0,0,3674,10,6,0,1
0,0,3678,1,7,0,1
0,0,3678,3,7,0,1
0,0,3678,8,7,0,1
0,0,3678,10,7,0,1
0,0,3683,1,8,0,1
0,0,3683,3,8,0,1
0,0,3683,8,8,0,1
0,0,3683,10,8,0,1
0,0,3688,1,9,0,1
0,0,3688,3,9,0,1
0,0,3688,8,9,0,1
0,0,3688,10,9,0,1
0,0,3692,1,10,0,1
0,0,3692,3,10,0,1
0,0,3692,8,10,0,1
0,0,3692,10,10,0,1
0,0,3697,1,11,0,1
0,0,3697,3,11,0,1
0,0,3697,8,11,0,1
0,0,3697,10,11,0,1
0,0,3702,1,12,0,1
0,0,3702,3,12,0,1
0,0,3702,8,12,0,1
0,0,3702,10,12,0,1
0,0,3706,1,13,0,1
0,0,3706,3,13,0,1
0,0,3706,8,13,0,1
0,0,3706,10,13,0,1
0,0,3711,1,14,0,1
0,0,3711,3,14,0,1
0,0,3711,8,14,0,1
0,0,3711,10,14,0,1
0,0,3715,1,15,0,1
0,0,3715,3,15,0,1
0,0,3715,8,15,0,1
0,0,3715,10,15,0,1
0,0,3720,1,16,0,1
0,0,3720,3,16,0,1
0,0,3720,8,16,0,1
0,0,3720,10,16,0,1
0,0,3725,1,17,0,1
0,0,3725,3,17,0,1
0,0,3725,8,17,0,1
0,0,3725,10,17,0,1
0,0,3729,1,18,0,1
0,0,3729,3,18,0,1
0,0,3729,8,18,0,1
0,0,3729,10,18,0,1
0,0,3734,1,19,0,1
0,0,3734,3,19,0,1
0,0,3734,8,19,0,1
0,0,3734,10,19,0,1
0,0,3738,1,20,0,1
0,0,3738,3,20,0,1
0,0,3738,8,20,0,1
0,0,3738,10,20,0,1
0,0,3743,1,21,0,1
0,0,3743,3,21,0,1
0,0,3743,8,21,0,1
0,0,3743,10,21,0,1
0,0,3748,1,22,0,1
0,0,3748,3,22,0,1
0,0,3748,8,22,0,1
0,0,3748,10,22,0,1
0,0,3752,1,23,0,1
0,0,3752,3,23,0,1
0,0,3752,8,23,0,1
0,0,3752,10,23,0,1
0,0,3757,1,24,0,1
0,0,3757,3,24,0,1
0,0,3757,8,24,0,1
0,0,3757,10,24,0,1
0,0,3762,1,25,0,1
0,0,3762,3,25,0,1
0,0,3762,8,25,0,1
0,0,3762,10,25,0,1
