date(dd-mm-yyy),time(hh:mm:ss),channel(1-40),intensity(%),interval(sec.)
1-1-2000,4:48:15,10,26,0
1-1-2000,4:48:15,20,26,0
1-1-2000,4:48:15,30,26,0
1-1-2000,4:48:15,40,26,0
1-1-2000,4:48:19,1,25,0
1-1-2000,4:48:19,11,25,0
1-1-2000,4:48:19,21,25,0
1-1-2000,4:48:19,31,25,0
1-1-2000,4:48:19,3,25,0
1-1-2000,4:48:19,13,25,0
1-1-2000,4:48:19,23,25,0
1-1-2000,4:48:19,33,25,0
1-1-2000,4:48:19,8,25,0
1-1-2000,4:48:19,18,25,0
1-1-2000,4:48:19,28,25,0
1-1-2000,4:48:19,38,25,0
1-1-2000,4:48:19,10,25,0
1-1-2000,4:48:19,20,25,0
1-1-2000,4:48:19,30,25,0
1-1-2000,4:48:19,40,25,0
1-1-2000,4:48:24,1,24,0
1-1-2000,4:48:24,11,24,0
1-1-2000,4:48:24,21,24,0
1-1-2000,4:48:24,31,24,0
1-1-2000,4:48:24,3,24,0
1-1-2000,4:48:24,13,24,0
1-1-2000,4:48:24,23,24,0
1-1-2000,4:48:24,33,24,0
1-1-2000,4:48:24,8,24,0
1-1-2000,4:48:24,18,24,0
1-1-2000,4:48:24,28,24,0
1-1-2000,4:48:24,38,24,0
1-1-2000,4:48:24,10,24,0
1-1-2000,4:48:24,20,24,0
1-1-2000,4:48:24,30,24,0
1-1-2000,4:48:24,40,24,0
1-1-2000,4:48:29,1,23,0
1-1-2000,4:48:29,11,23,0
1-1-2000,4:48:29,21,23,0
1-1-2000,4:48:29,31,23,0
1-1-2000,4:48:29,3,23,0
1-1-2000,4:48:29,13,23,0
1-1-2000,4:48:29,23,23,0
1-1-2000,4:48:29,33,23,0
1-1-2000,4:48:29,8,23,0
1-1-2000,4:48:29,18,23,0
1-1-2000,4:48:29,28,23,0
1-1-2000,4:48:29,38,23,0
1-1-2000,4:48:29,10,23,0
1-1-2000,4:48:29,20,23,0
1-1-2000,4:48:29,30,23,0
1-1-2000,4:48:29,40,23,0
